;;;;
;;;;
;ЧП Настин А.С.;;;
;;;;
;"
Телефоны: 37-24-05,37-49-47";;;
;;;;
;Прайс-лист;;;
;29 Апреля 2026 г.;;;
;;;;
Артикул;Наименование товаров;Розничные;;
;;"(включая НДС,
 без учета НП)";;
;Амортизатор г.Гродно;;;
11.2905005-53 (в уп.2шт.);Амортизатор п/кабину  г.Гродно 90/271;1 750,00 руб.;шт;
11.6809010;Амортизатор п/сиденье  г.Гродно 110/200(шток 12,цилиндр 30);1 721,00 руб.;шт;
4310-2905006 300/485;Амортизатор передней подвески  г.Гродно;6 899,00 руб.;шт;
53212-2905006-02 Пластм.;Амортизатор передней подвески  г.Гродно 275/460;3 670,00 руб.;шт;
53212-2905006-01 Метал.;Амортизатор передней подвески  г.Гродно 275/460;5 623,00 руб.;шт;
50.4.2905005 245/450;Амортизатор Икарус г. Гродно;5 000,00 руб.;шт;
152-2905006-11(230/450);Амортизатор ЛИАЗ УКРАИНА;1 600,00 руб.;шт;
50.2.2905005 325/500;Амортизатор МАЗ, КАМАЗ 6520 г. Гродно 325/500;4 009,00 руб.;шт;
50.6.2905005 230/450;Амортизатор НЕФАЗ, ЛИАЗ г.Гродно;4 140,00 руб.;шт;
50.5.2905005   (300/475);Амортизатор УРАЛ, КРАЗ, (43118)  300/475 г. Гродно;3 980,00 руб.;шт;
100-3519010-01;Камера передняя тип 16 ЗИЛ  (ход штока 58мм);1 050,00 руб.;шт;
100-3519010-11;Камера передняя тип 16 ЗИЛ длинн. шток г.Гродно (шток 88мм);1 060,00 руб.;шт;
24.3519010-01 корот. шток;Камера передняя тип 24 г.Гродно L=2.5cм;1 070,00 руб.;шт;
24.3519010-11;Камера передняя тип 24 г.Гродно L=5,5;2 879,00 руб.;шт;
24.3519200-04;Камера тормозная (4310), МАЗ 24/24  г.Гродно;13 857,00 руб.;шт;
20.3519100-02;Камера тормозная (5320) 20/20 г.Гродно;5 476,00 руб.;шт;
12.3519110-01;Камера тормозная тип 12/20 с энергоаккумулятором ЛИАЗ  г. Гродно;5 150,00 руб.;шт;
18.3519110;Камера тормозная тип 20 МАЗ (шток 57 мм)  г. Гродно;2 794,00 руб.;шт;
30.3519010;Камера тормозная тип 30 МАЗ, КРАЗ г. Гродно (шток 58 мм) (19.3519310-02);1 350,00 руб.;шт;
30.3519200;Камера тормозная тип 30/24 КАМАЗ 6520 г.Гродно;6 939,00 руб.;шт;
30.3519300-10;Камера тормозная тип 30/30 г.Гродно;15 183,00 руб.;шт;
;Амортизатор ПЕРВОУРАЛЬСК;;;
П40.1.2905005  (4310);Амортизатор п/п КАМАЗ метал. Первоуральск;2 811,00 руб.;шт;
П50.6-2905005 245х450;Амортизатор НЕФАЗ метал. (ПААЗ);3 980,00 руб.;шт;
;Амортизаторы, домкраты г.Барановичи;;;
А2-245/450.2905006(152);Амортизатор Икарус, НЕФАЗ г.Барановичи;4 500,00 руб.;шт;
А1-275/460.2905006(22);Амортизатор КАМАЗ усил., ПАЗ г.Барановичи;4 119,00 руб.;шт;
А1-237/412.2905006-41;Амортизатор п/прицеп МАЗ г.Барановичи;4 500,00 руб.;шт;
А1-275/450.2905006;Амортизатор КАМАЗ 4308 г.Барановичи;4 175,00 руб.;шт;
54327-2915006-10;Амортизатор МАЗ г.Барановичи 315/500;4 500,00 руб.;шт;
54327-2915006-50;Амортизатор МАЗ г. Барановичи 240/425;4 500,00 руб.;шт;
54327-2915006-30;Амортизатор МАЗ г.Барановичи 265/450;4 500,00 руб.;шт;
А2-230/450.2905006(152);Амортизатор ЕВРО, ЛиАЗ,НЕФАЗ(5460) г.Барановичи;4 500,00 руб.;шт;
54327-2915006-60;Амортизатор МАЗ 190/425;4 500,00 руб.;шт;
А1-325/500.2905006-11;Амортизатор МАЗ, КАМАЗ 6520 г.Барановичи;4 100,00 руб.;шт;
54327-2915006-20;Амортизатор МАЗ (290/475);3 229,00 руб.;шт;
А1-300/475.2905006-21;Амортизатор УРАЛ,КРАЗ г.Барановичи перед. ушки 5460, пласт.кожух;4 001,00 руб.;шт;
ДГ 25.3913010;Домкрат 25т. г.Барановичи;20 061,00 руб.;шт;
;БАТЭ г.Борисов;;;
42-3708600;Бендикс Волга, Газель, УАЗ, 402 дв. г.Борисов;775,00 руб.;шт;
42-3708600-10;Бендикс Волга, Газель 406 дв. г. Борисов;672,00 руб.;шт;
425-3708600;Бендикс ВАЗ-2101-07, 2121 г. Борисов;590,00 руб.;шт;
7402.3708600;Бендикс г. Борисов;1 060,00 руб.;шт;
СТ230-3708600-01;Бендикс большой ГАЗ-53, ПАЗ, ГАЗ-66 г.Борисов;819,00 руб.;шт;
СТ230К-3708600-01;Бендикс ЗИЛ , СТ230К4 г.Борисов;869,00 руб.;шт;
3242-3771-10;Генератор 28В,110А ,10 руч.ш ев-3 г.Борисов;11 466,00 руб.;шт;
3232.3771000;Генератор 3232 Дв.ЯМЗ-236,-238, КАМАЗ-740 и их модиф.60А г.Борисов;6 261,00 руб.;шт;
3252.3771000;Генератор МАЗ ОАО БАТЭ 28В. 90А;8 910,00 руб.;шт;
3232.3771000-10;Генератор  МАЗ, МТЗ, ММЗ(ЕВРО-2) Д-245(Д-245.30Е-715,-716) 28В 60А г.Борисов;8 271,00 руб.;шт;
СТ 2А-3708150;Обмотка;1 436,00 руб.;шт;
7402-3708120;Обмотка стартера;1 723,00 руб.;шт;
СТ230-3708110;Обмотка стартера (большая);1 898,00 руб.;шт;
422.3708 (42.3708-10);Обмотка стартера 402 дв. г.Борисов г.Борисов;1 247,00 руб.;шт;
422.3708800;Реле втягивающее малое в коробке ГАЗ, УАЗ (402, 406 дв)г. Борисов;1 543,00 руб.;шт;
74.3708800 (12В);Реле втягивающее г. Борисов;2 408,00 руб.;шт;
